Question,Leopard,Tiger,Puma,Jaguar,Lion(ess),Cheetah
http://i.imgur.com/wDcGjzP.jpg,0,1,0,0,0,0
http://i.imgur.com/pH8OohI.jpg,0,0,1,0,0,0
http://i.imgur.com/zmJvsAn.jpg,1,0,0,0,0,0
http://i.imgur.com/jmWme5a.jpg,0,0,0,0,1,0
http://i.imgur.com/2hn2Eu8.jpg,0,0,0,0,0,1
http://i.imgur.com/O8O3CgP.jpg,0,0,1,0,0,0
http://i.imgur.com/c1Bqo0z.jpg?1,1,0,0,0,0,0
http://i.imgur.com/Euvz93H.jpg,0,0,0,1,0,0
http://i.imgur.com/b82bC1q.jpg,0,0,0,0,0,1
http://i.imgur.com/vLIzY1T.jpg,0,0,0,1,0,0
http://i.imgur.com/UFLgizH.jpg,0,0,1,0,0,0
http://i.imgur.com/KE8QemE.jpg,0,1,0,0,0,0
http://i.imgur.com/ElAhMn9.jpg,0,1,0,0,0,0
http://i.imgur.com/4Vs97dZ.jpg,0,0,0,0,1,0
http://i.imgur.com/20ac1mX.jpg,0,0,0,0,0,1
http://i.imgur.com/cz4D4eX.jpg,0,0,0,1,0,0
